applicant,patent_count,sample_count,mainfocus
中国矿业大学,2,2,中国矿业大学在机器人领域的研究主攻方向为开发基于不同机制（如片簧和电磁屈曲梁）的变刚度柔性关节及其控制方法，这些技术具有结构简单、易于控制、可小型化的特点，并且能够实现高精度的刚度调节。
江西制造职业技术学院,2,2,江西制造职业技术学院的研究主攻方向是利用虚拟现实和体感采集技术，结合仿人机器人系统，实现空间站的远程维修与维护。通过实时分析操作员动作并精准控制机器人，提高空间站维修任务的执行效率和准确性。
百度(美国)有限责任公司,2,2,百度(美国)有限责任公司在无人驾驶领域专注于开发先进的决策与控制技术，特别是通过预测交通行为、手势识别及交互以及结合模型预测控制和逆向强化学习来优化驾驶策略，以提升自动驾驶的安全性和舒适度。
国立科学研究中心,2,2,国立科学研究中心专注于机器人领域的下肢和手部关节技术，特别是双足行走机器人的下肢关节设计和仿人机器人的灵巧手结构。研究重点在于提高关节的灵活性、稳定性和抓取能力，以实现更自然和高效的运动与操作。
南京优触电子科技有限公司,2,2,南京优触电子科技有限公司专注于基于弹性波识别技术的人形机器人触觉外壳研发，通过在弧面壳体内布置声电换能器并采用特殊信号处理方式及墨卡托投影定位方法，实现对用户触碰位置的精准识别与交互功能简化。
宁波GQY视讯股份有限公司,2,2,宁波GQY视讯股份有限公司专注于机器人关节技术的研发，主要致力于通过创新的线控技术和位置检测方法提高机器人的灵活性和动作精度。其代表性技术包括远程驱动的轻量化颈部关节设计及基于电阻变化的手臂位置检测机构。
赵云琦,2,2,赵云琦专注于开发孤独症儿童辅助教育机器人，通过设计与人体结构相似的人形机器人，结合监护人员遥控操作发出声音指令和动作示范，促进孤独症儿童模仿学习和社会交互能力的提升。该方案采用模块化零件和编程内容设计，提供了一种简单且开放式的康复教育手段。
浙江吉利控股集团有限公司,2,2,浙江吉利控股集团有限公司在机器人领域主要研究方向为智能设备与自动化技术，特别是在自动草坪维护和智能车载空调控制方面，通过集成先进的传感器、图像识别及控制系统，提升用户体验和环境适应性。
华东师范大学,2,2,华东师范大学在机器人技术领域主要研究方向为基于人机交互的自闭症康复训练系统以及多智能体系统的动态分配与协作方法，通过构建互动模型和角色驱动机制实现高效的人机协作与任务执行。
北京格分维科技有限公司,2,2,北京格分维科技有限公司专注于总线舵机的控制系统及级联系统的研发，通过优化舵机控制方法和连接方式，提高机器人的组装便捷性、稳定性和可靠性，同时增强系统的动态响应能力和抗干扰性能。
苏州力佳达电子科技有限公司,2,2,苏州力佳达电子科技有限公司专注于人形机器人中部结构的设计与优化，主要研究方向为集成多功能模块的机器人躯干部分，包括分类储存、食物供给、定位导航及空气净化等功能，以增强机器人在户外活动中的辅助能力。
何义周,2,2,何义周的研究主攻方向是机器人手臂及智能服务助手的设计，特别关注于通过优化手指和手掌件的驱动结构来简化整体机械构造，从而实现体积缩小与功能增强。其创新点在于利用特定布局的驱动线连接各指节与驱动源，以提高动作灵活性和控制精度。
紫勋智能科技(北京)有限公司,2,2,紫勋智能科技(北京)有限公司专注于类人机器人双臂运动规划与姿态决策控制技术，通过建立和解析前向及逆运动学模型，形成二次规划问题，并设计相应的动态规划方法和求解器，实现高精度的双臂协同控制。
乐森机器人(深圳)有限公司,2,2,乐森机器人专注于开发具有变形功能和双足行走能力的机器人，通过创新的关节设计与舵机驱动技术实现形态变换及稳定移动。其研究重点在于提高机器人的灵活性、平衡性和多模式运动能力。
张舒怡,2,2,张舒怡的研究主攻方向是利用线状激光和数字成像技术进行障碍物检测的传感器设计，通过反射面延长光路并结合CCD或CMOS感光元件来识别前方障碍物。
杭州海灵智电科技有限公司,2,2,杭州海灵智电科技有限公司专注于机器人舵机控制技术的创新，包括智能模式切换与偏差调节方法，以及高效、灵活的多自由度人形机器人设计。其研究致力于简化舵机控制系统，提高机器人的动作精度和安全性，同时优化内部结构以增强整体性能。
盐城工学院,2,2,盐城工学院在机器人领域的研究主攻方向为基于听觉的人形机器人控制系统，通过嵌入式计算机系统实现视频识别与处理、语音指令解析及背景声音的节奏识别，驱动机器人跟随节拍做出动作，增强人机交互和娱乐功能。
中国南方电网有限责任公司,2,2,中国南方电网有限责任公司的研究主攻方向集中在提升电力系统的智能化运维水平，特别是在人机协同巡检机器人控制方法和光缆通信系统智能监护技术方面，通过结合人类决策与机器自主规划，优化任务执行路径及网络设备配置，提高系统的适应性和运行效率。
淄博纽氏达特机器人系统技术有限公司,2,2,淄博纽氏达特机器人系统技术有限公司专注于开发探伤检测人形机器人及其检测方法，通过集成主探测模块、子扫描模块和多电机驱动的双臂结构，实现对传送带上焊接件的实时缺陷检测与不合格品抓取，具备高效灵活的检测能力和实用性。
深圳市汇联时代科技有限公司,2,2,深圳市汇联时代科技有限公司专注于机器人转动限位结构和头部随音乐转动的控制技术，通过创新设计提高机器人的安全性和精确度，同时增强其趣味性和娱乐性，提升用户体验。
深圳勇艺达机器人有限公司,2,2,深圳勇艺达机器人有限公司专注于开发先进的机器人手臂控制系统，包括物体抓取技术和故障诊断系统。其核心技术在于通过视觉识别和闭环控制实现精准操作，并提高系统的拟人化程度和用户交互体验。
中科新松有限公司,2,2,中科新松有限公司专注于机器人领域的高级控制技术和智能化管理，特别是在串联弹性驱动器的精确位置控制以及基于多源数据的机器人元技能自定义和管理方面具有显著研究。
沈阳工业大学,2,2,沈阳工业大学在机器人领域主要研究方向为可变形轮足机器人的快速变形和低重心系统，以及基于复合轴承结构的轴向磁通永磁电机。这些技术提高了机器人的适应性和能效，并实现了紧凑型高性能驱动系统的轻量化和散热优化。
重庆科技学院,2,2,重庆科技学院在机器人领域的研究主要集中在医疗健康检测与人机交互安全两方面，开发了集成多种生理参数监测功能的自助体检机器人，并设计了可调节、适应性强的柔性驱动关节结构以提高穿戴式机器人的舒适度和安全性。
MBL有限公司,2,2,MBL有限公司专注于开发能够执行复杂任务的人形机器人技术，特别是通过构建基于计算机编码的动作基元来实现自动化烹饪和护理等应用。其核心技术在于创建一种通用的可示范编程平台，利用微操纵电子库提供高级别的感测与执行序列，以支持人形机器人在工具使用及环境交互中的灵活性和功能性。
西京学院,2,2,西京学院专注于开发用于真空管道检查和维修的磁吸式步行机器人。这些机器人设计成人形，脚底装有电磁铁，能够在管道内外壁上行走、站立甚至侧立或倒立，以执行各种检查和维修任务，提高作业效率和安全性。
广州创梦空间人工智能科技有限公司,2,2,广州创梦空间人工智能科技有限公司专注于开发用于商业表演的高智能人形机器人，通过集成多自由度驱动关节与先进的外设感官系统，结合智能算法实现灵活运动、多样化动作展示及智能语音对话功能，显著提升机器人的观赏性和互动体验。
焦作大学,2,2,焦作大学的研究主攻方向是体操运动的机器人教学方法及系统，通过仿人形机器人进行一对多的教学，并利用CCD摄像机采集和分析学员动作，与标准动作对比后提供错误提示以纠正动作。
上海航天控制技术研究所,2,2,上海航天控制技术研究所专注于机器人领域的高效驱动系统和先进传感器技术，特别是在负重型外骨骼的液压驱动系统设计上，通过优化电机泵组与阀控策略实现高效率、轻量化；同时在柔性触觉传感器方面，利用MXene基电极和水锁离子导电水凝胶开发出具有高灵敏度和宽温区稳定性的传感解决方案。
株式会社捷太格特,2,2,株式会社捷太格特专注于开发触觉传感器及人形机器人，其核心技术在于利用弹性变形片材、线圈和磁性材料构成的触觉传感器，通过检测线圈电感变化来感知外部接触力。
株式会社英实业,2,2,株式会社英实业专注于可变形玩具车的设计与开发，主要研究方向为实现玩具车在汽车形态和机器人形态之间的平滑转换，通过创新的框架结构和触发机制设计，使玩具车能够在不同模式间自动或手动变形。
广州市威控机器人有限公司,2,2,广州市威控机器人有限公司专注于机器人的姿态校准与舵机保护技术，通过创新的自动校准方法提高机器人定位精度，并开发了基于状态监测的舵机防护机制以减少物理损伤风险，从而增强机器人系统的可靠性和用户体验。
中国人民解放军总医院第一医学中心,2,2,该单位主要研究方向为医疗健康领域的智能设备与系统，特别是结合机器人技术的远程医疗服务及便携式生理信号监测装置。
梁静,2,2,梁静的研究主攻方向为医院导医人形机器人及其控制方法，通过集成语音、视觉、移动、肢体和监测系统实现高效的人机交互，提升就医效率与用户体验，同时减轻医护人员的工作负担并保护患者隐私。
非夕科技有限公司,2,2,非夕科技有限公司专注于机器人领域的高精度力和力矩传感技术，通过多轴力和力矩传感器的设计以及关节力矩补偿方法，提升机器人在不同工况下的力感知精度和稳定性。
北京声智科技有限公司,2,2,北京声智科技有限公司主要研究方向为智能交互技术，专注于通过用户行为分析和环境感知实现个性化信息展示，并开发自动化舞蹈编排算法以增强机器人娱乐功能的多样性和互动性。
渥美不动产有限公司,2,2,渥美不动产有限公司专注于开发具备旋转体的移动和作业装置，特别是利用筒型或圆柱形旋转体作为驱动轮或作业部件的技术。这些装置能够抓握并沿细长物体移动，适用于绳索等细长部件的操作与运输。
深圳市城市漫步科技有限公司,2,2,深圳市城市漫步科技有限公司专注于开发机器人头部运动装置及人形机器人，通过多维度驱动件和移动架设计，实现机器人的扭头和偏头动作，增强头部运动的拟人化效果。
上海上实龙创智能科技股份有限公司,2,2,上海上实龙创智能科技股份有限公司专注于基于类人形机器人的室内讲解系统及方法，通过红外传感技术实现机器人在预定路线上的精准定位与自动调整，以提高讲解的准确性和清晰度，减轻人工讲解员的工作负担。
北京市商汤科技开发有限公司,2,2,商汤科技专注于图像处理与计算机视觉技术，特别是在对象关键点识别领域。通过创新的图像处理方法和深度学习模型，提高对称对象及目标对象关键点识别的准确性和效率，增强识别结果的应用范围和实用性。
深圳市特种设备安全检验研究院,2,2,深圳市特种设备安全检验研究院专注于开发适用于受限空间的特种检测机器人，特别是具有四肢的类人形机器人。这些机器人通过电磁铁和智能控制系统实现在铁磁性容器内部的直立行走、爬行等多姿态移动，以进行全方位视觉检测。
英特尔公司,2,2,英特尔公司在机器人领域的研究主要集中在高级图像处理和自主代理操作技术上，具体包括通过点云配准提高图像数据的准确性以及开发针对特定任务的地图表示系统以优化自主设备的导航与执行效率。
北京洛必德科技有限公司,2,2,北京洛必德科技有限公司专注于开发多功能智能清洁机器人，通过集成主电源、显示屏、麦克风和透气网板等组件，并采用可自动拆卸组装的扁平式设计，实现高效清洁作业，特别适用于存在限高区域的清洁任务。
江苏信息职业技术学院,2,2,江苏信息职业技术学院专注于开发基于语音控制的智能机器人系统，特别是应用于智能家居设备控制及养老服务领域。通过集成先进的语音识别技术、物联网框架和人形机器人设计，实现多品牌智能设备互联与便捷操控，提升用户体验和生活便利性。
M·奥利尼克,2,2,M·奥利尼克专注于开发能够在特定环境中替代人类执行复杂任务的机器人系统，特别是在烹饪领域实现自动化食物制备，并通过环境感知和对象识别技术提升机器人在多样化场景下的交互能力。
广东今甲机器人有限公司,2,2,广东今甲机器人有限公司专注于仿人形机器人的手臂结构和控制方法，通过创新的推动机构设计，解决了传统拉线控制方式中手指灵活性差、易缠绕的问题，提高了手指动作的协调性和可靠性。
浙江未来精灵人工智能科技有限公司,2,2,浙江未来精灵人工智能科技有限公司专注于机器人定位与导航技术，通过融合双目视觉传感器和行进状态感知传感器提高定位精度和鲁棒性，并利用动态障碍物的速度信息优化导航路径，提升机器人在复杂环境中的导航效率。
合肥铁榔头教育科技有限公司,2,2,合肥铁榔头教育科技有限公司专注于人形机器人腰部关节的设计与优化，通过扭矩传递机构和拉簧卸荷机构，大幅减小电机转矩脉动，改善动力学特性，降低控制难度和能耗。
中国人民解放军海军军医大学第一附属医院,2,2,该单位主要研究方向为医疗自动化系统，特别是针对血流动力学监测和肝素用药监测的智能辅助决策系统，通过实时数据分析与处理，提供精准的用药指导和剂量调整建议，提高医护人员工作效率及患者治疗效果。
得麦股份有限公司,2,2,得麦股份有限公司专注于开发先进的多模态人机交互技术，特别是在基于自然语言处理的视觉场景构建和结合音频与视觉信号的语音识别领域，以提升机器人对复杂环境的理解能力和对话系统的准确性。
深圳先进技术研究院,2,2,深圳先进技术研究院主要研究方向为基于深度强化学习和动力学模型的机器人路径规划与稳定行走控制技术，特别是在自平衡外骨骼和双足机器人的动态环境避障及自然步态生成方面。
丰田研究所股份有限公司,2,2,丰田研究所股份有限公司专注于机器人和自动驾驶技术，特别是在3D自动标记和目标识别方面。通过利用结构和物理约束进行精确的3D对象标记，并结合特征向量比较来识别未知目标，提升机器人的环境感知能力和自主导航性能。
孙诚睿,2,2,孙诚睿的研究主攻方向是机器人下肢的快速更换与缓冲技术，通过设计可拆卸结构和液压缓冲系统，提高机器人在跳跃等高冲击动作中的稳定性和耐用性。
李上清,2,2,李上清的研究主攻方向为智能交互人形机器人的自动消毒清理技术，特别是通过集成自动喷射消毒水和擦拭刮动清理功能，防止细菌病毒经由显示触摸屏传播，并对使用后的消毒水进行导流收集。
福建(泉州)先进制造技术研究院,2,2,福建(泉州)先进制造技术研究院专注于开发面向鞋服展示的人形机器人控制系统，该系统集成了自主导航、路径规划、避障及人机交互功能，通过视觉语音模块和模特运动控制模块实现动态的鞋服展示与推广。
境见未来(青岛)科技有限公司,2,2,该企业专注于基于双目摄像头和人形机器人的增强现实技术，通过实时采集实景数据、深度计算及图像处理，实现虚实精准融合的3D虚拟场景构建与传输，提升用户体验的真实感、沉浸感和互动性。
深港产学研基地(北京大学香港科技大学深圳研修院),2,2,该单位专注于双耳声源定位技术的研究，通过加权模板匹配和时频掩码估计等方法，在复杂噪声环境下实现高精度的声源角度定位。利用卷积神经网络提升特征鲁棒性，并结合端到端的学习框架优化定位性能。
深圳安康慧科技有限公司,2,2,深圳安康慧科技有限公司专注于机器人技术在智能家居和养老领域的应用，主要研究方向包括智能弱电箱的设计与集成以及桌面机器人的全空间主动交互方法，旨在提升家庭智能化水平及老年人居家生活的便捷性和舒适度。
中国人民解放军陆军特色医学中心,2,2,该单位专注于开发用于医患沟通能力训练的机器人技术，通过集成声音传感器、情绪显示模块和显示屏等组件，模拟真实交流情境，帮助医学生提高沟通技巧。
浙江睿致人工智能科技有限公司,2,2,浙江睿致人工智能科技有限公司专注于开发人形机器人，特别在拳击训练领域。其核心技术在于通过多种电机和推杆的协同工作，使人形机器人能够模拟出拳和摆拳动作，与拳击手进行互动训练，提高拳击手的防守和躲闪能力。
乐聚(江苏)机器人科技有限公司,2,2,乐聚(江苏)机器人科技有限公司专注于机器人控制技术，特别是在颜色识别和物品移动的精准控制以及基于多模态数据的运动控制模型训练方面，以提升机器人在复杂环境下的操作精度和自主性。
费奥多·库斯马采夫,2,2,费奥多·库斯马采夫的研究主攻方向是基于运动的稳定支撑系统，通过传感器检测移动主体的运动参数，并利用控制单元和致动器实时调整以防止不稳定性，从而有效避免跌倒。
KYB株式会社,2,2,KYB株式会社专注于模块化机器人和连结结构技术，特别是在通过液压驱动实现模块间相对移动以及利用棒状零件和固定单元实现部件间的稳固连接方面具有显著研究。
张效龙,2,2,张效龙的研究主攻方向是通过在人工智能机器人系统中引入使命感和意识模仿系统，提升通用人工智能机器人的科学探索能力。其技术方案涵盖了数据处理、人形机器人终端、模仿系统及存储系统的集成与优化。
埃尔薇拉·库恩,2,2,埃尔薇拉·库恩的研究主攻方向是基于运动的稳定支撑系统，通过集成传感器、致动器和控制单元来实时检测并抑制移动主体的不稳定性，从而防止跌倒。
王娟,2,2,王娟的研究主攻方向是开发具有多功能机械臂的智能机器人，特别关注于通过优化机械臂结构设计来实现高效、低成本的物品搬运与支撑功能。其技术方案强调利用多关节机械臂和智能行走机构以适应不同高度的任务需求，并通过减少所需电机扭矩进一步降低生产成本。
深圳市金大智能创新科技有限公司,2,2,深圳市金大智能创新科技有限公司专注于开发基于数字化虚拟人驱动技术的远程机器人控制系统，以及具备多样化互动功能的智能家庭服务机器人。其核心技术在于实现操作者动作到机器人的实时映射，以及提升机器人头部运动的灵活性和用户体验。
香港科技大学,2,2,香港科技大学在机器人领域专注于开发先进的感知技术，包括仿生视觉系统和碰撞检测方法。其研究重点在于通过模仿生物结构设计高灵敏度的视觉传感器，并利用超声波技术实现对机器人外壳碰撞事件的精准定位与损伤评估，以提升机器人的环境适应性和安全性。
深圳市千越文化教育科技有限公司,2,2,深圳市千越文化教育科技有限公司专注于人形机器人在教育领域的应用，通过集成情感识别、状态分析和信息处理等技术模块，实现高效的人机互动教学模式，提供个性化学习方案，以提高学生的学习效率。
全爱科技(上海)有限公司,2,2,全爱科技(上海)有限公司专注于智能人形机器人的控制系统和方法，通过识别和分析人体姿态图片生成关节参数，结合姿态过渡策略，实现机器人平稳高效的动作变换，特别是在单脚站立时的稳定性控制。
深圳海翼智新科技有限公司,2,2,深圳海翼智新科技有限公司专注于机器人领域的技术创新，主要研究方向包括机械手指的结构优化和控制方法的智能化。通过简化机械手指结构提高使用寿命，并开发智能控制算法使机器人能够根据用户反馈和环境变化自适应调整行为，提供更加智能的服务。
北京地平线机器人技术研发有限公司,2,2,北京地平线机器人技术研发有限公司专注于开发高效的神经网络模型压缩技术与先进的运动控制算法，通过优化模型结构和指令生成方法提升机器人的数据处理效率及运动控制能力，以实现更智能、灵活的机器人应用。
东莞理工学院,2,2,东莞理工学院的研究主攻方向为张拉整体式仿生肩关节系统及其运动轨迹规划方法，通过将肩关节形态结构与张拉整体结构融合，实现轻量化、高柔顺性和灵活性的仿生肩关节设计，适用于人形机器人关节。
苏州元脑智能科技有限公司,2,2,苏州元脑智能科技有限公司专注于机器人领域的目标检测与节点通信技术，通过优化三维点云数据处理提升目标检测模型性能，并利用虚拟端口技术增强节点间的数据传输效率和降低通信时延。
极光飞行科学公司,2,2,极光飞行科学公司专注于机器人在复杂动态环境中的冲突检测与避免技术，通过实时监测周围环境和预测潜在碰撞风险，结合感知不确定性分析，智能规划安全路径以确保机器人任务执行的安全性和效率。
深圳职业技术学院,2,2,深圳职业技术学院在机器人领域的研究主攻方向为基于听觉的人形机器人控制系统，该系统通过集成处理、操控接收和听觉接收模块实现对音频信号的解析与响应，并支持远程控制及预设动作的自动执行，适用于多种应用场景，如工厂操作。
深圳市三思康养科技有限公司,2,2,深圳市三思康养科技有限公司专注于基于听觉的人形机器人控制系统，集成处理、操控接收与听觉接收模块，实现音频解析和远程控制，适用于工厂等场景的自动化操作。
花粉机器人技术公司,2,2,花粉机器人技术公司专注于开发具有多自由度的机器人关节及其控制方法，特别是通过创新的齿轮和电机布局实现高效、灵活的运动控制。这些关节设计旨在提高机器人的灵活性和精度，适用于多种应用场景。
河海大学,2,2,河海大学在机器人领域的研究主要集中在开发基于轻量化神经网络的实时镜像行为方法和设计具有伸展与收缩功能的气动人工肌肉，以实现高精度、自然度及适应性的机器人动作控制。
苏州科技大学,2,2,苏州科技大学在机器人领域主要研究欠驱动绳索桁架式行走机器人和基于柔性GaN薄膜的机器人系统。前者通过独特的平面连杆机构和牵引路径设计实现轻量化、低功耗和平稳行走；后者则利用柔性GaN薄膜制备高灵敏度、快速响应的类脑芯片，提升机器人的适应性和性能。
高通股份有限公司,2,2,高通股份有限公司在机器人领域主要研究方向集中在利用深度学习技术优化视频编码效率及通过超宽带技术提升设备定位精度。具体表现为开发先进的神经网络模型以实现更高效的视频数据压缩，同时构建精准的UWB定位系统来增强物联网中设备间的连接与交互能力。
淮阴工学院,2,2,淮阴工学院在人形机器人轨迹跟踪领域进行研究，通过图像处理和ROI区域划分技术检测色块并生成运动指令，结合历史指令池优化资源利用，提高寻迹准确性。
温州大学,2,2,温州大学在机器人技术领域专注于智能教育系统的开发，特别是结合AI和物联网技术实现学生行为监测与反馈。同时，在柔性电子材料方面，该校致力于研发具有高导电性和柔韧性的新型水凝胶电极材料，用于能量收集装置，推动了人机交互及可穿戴设备的进步。
纯米科技(上海)股份有限公司,2,2,纯米科技(上海)股份有限公司专注于机器人领域的智能抓取技术和平衡控制技术，通过环境感知与路径规划实现高效物体抓取，并利用多传感器信息融合提升双足机器人在复杂地形中的稳定性和适应性。
深圳市安信达存储技术有限公司,2,2,深圳市安信达存储技术有限公司专注于人形机器人的数据处理与存储控制技术，通过将待存储数据划分为动作数据集并分析其与标准动作的差异，结合场景特征进行高效存储，显著降低内存需求和存储成本。
山东大学苏州研究院,2,2,山东大学苏州研究院主要研究方向为基于铟铝锌氧化物和透明宽禁带材料的神经形态忆阻器及痛觉神经元感受器，通过优化材料和制备工艺，实现高性能、高稳定性的类脑计算器件，并在光电应用和生物模拟领域展现出重要潜力。
之江实验室科技控股有限公司,2,2,之江实验室科技控股有限公司专注于人形机器人运动性能的测量与捕捉技术，通过集成IMU测量仪和红外标记球，结合红外相机实时获取并分析姿态角、加速度及位姿平面数据，以适应不同人形机器人的多种运动性能测量需求，实现便捷高效的运动捕捉。
旭清灵动(上海)具身智能科技有限公司,2,2,旭清灵动(上海)具身智能科技有限公司专注于人形机器人手腕连杆传动结构的设计与优化，通过创新的机械臂骨板、联结轴及直线驱动机构布局，解决了传统设计中因直接放置驱动执行器导致的手腕臃肿问题，提升了仿人形机器人的整体协调性和外观比例。
中国人民解放军战略支援部队航天工程大学,2,2,该单位研究主攻方向为融合软件机器人与人形机器人的全自动业务流程方法，通过多层架构的软件机器人系统将任务需求转化为执行指令，驱动人形机器人完成作业并反馈状态，从而提升操作流程的自动化程度。
广东华沿机器人股份有限公司,2,2,广东华沿机器人股份有限公司专注于提高机器人运动控制的稳定性和效率，特别是在无夹持机械臂的轨迹平滑与位姿控制以及基于电子皮肤传感器的状态监测和响应方面。
重庆邮电大学,2,2,重庆邮电大学的研究主攻方向集中在无线通信和电机控制领域，特别是在6G SURLLC场景下的用户性能分析及全速域下无传感永磁同步电机的改进控制方法。这些研究致力于提升系统的安全性和可靠性，并通过优化算法提高电机控制的精度和响应速度。
江苏金和美机器人科技有限公司,2,2,江苏金和美机器人科技有限公司专注于机器人技术的研发，特别是在电子皮肤的信号检测处理以及物流搬运机器人的设计与优化方面。其核心技术包括利用霍尔效应实现高密度点状检测以提高电子皮肤的灵敏度和柔软性，以及通过优化关节结构和助力方式提升物流搬运机器人的工作效率和负载能力。
北京百度网讯科技有限公司,2,2,北京百度网讯科技有限公司主要研究方向为基于人工智能的视觉处理技术，特别是在计算机视觉与深度学习相结合的应用领域，如智能体视觉导航和三维对象检测，这些技术广泛应用于自动驾驶、机器人导航等场景。
南京硅基智能科技集团股份有限公司,2,2,南京硅基智能科技集团股份有限公司专注于计算机视觉和图像处理技术，特别是在关键点旋转模型和数字人生成模型的训练方法上，通过优化模型训练过程以提高模型性能并降低计算资源需求，从而推动数字人在低算力设备上的广泛应用。
北京小雨智造科技有限公司,2,2,北京小雨智造科技有限公司专注于机器人领域的人机交互与标定技术，通过创新的空间事件组合解析和多步预测方法，提高人机交互效率及准确性，并增强机器人视觉系统的标定精度与稳定性。
浙江环动机器人关节科技股份有限公司,2,2,浙江环动机器人关节科技股份有限公司专注于高精度、紧凑型减速装置及机器人关节技术的研发，特别在摆线齿轮减速器和多自由度谐波减速器组件方面具有显著创新，旨在提升机器人关节的运动范围与承载能力。
西安缔造者机器人有限责任公司,2,2,西安缔造者机器人有限责任公司专注于开发高效的人机交互系统和仿生机器人技术，特别是在边缘计算环境下实现高精度实时人脸表情识别以及设计低成本、高稳定性的仿真人形机器人腿部结构。
沧州菲漫电子科技有限公司,2,2,沧州菲漫电子科技有限公司专注于开发具有颞下关节运动功能的人形机器人，通过设计可调节的下颌骨骨架和驱动机构，实现对人类下颌骨髁道角度的精确模拟，为医学训练提供直观且功能性强的解决方案。
福建经济学校,2,2,福建经济学校的研究主攻方向是基于视觉识别的人形机器人技术，特别关注通过滤光膜卷筒和摄像防护玻璃来保护摄像头感光元件免受强光和高能光束损害的方法。
哈尔滨灵博机器人有限公司,2,2,哈尔滨灵博机器人有限公司专注于研发集驱动、感知和控制于一体的直线驱动电缸，通过集成直流无刷电机、失电制动模块、传感器及驱控电路板，提升电缸的输出动力、集成度、轻质性、结构强度、功耗和运动速度，适用于人形机器人关节驱动。
中国石油大学(华东),2,2,中国石油大学(华东)在柔性压力传感器领域进行研究，开发具有高性能敏感层和柔性可穿戴特点的传感器。该传感器灵敏度高、响应速度快、检测量程大，适用于运动检测、手势识别、触觉感知、电子皮肤及机器人等领域。
北京中航科电测控技术股份有限公司,2,2,北京中航科电测控技术股份有限公司专注于人形机器人关节模组电机的设计与优化，通过创新的铁芯限位槽结构和环形驱动轴设计，实现永磁体在绕阻线圈内部的高效布局，有效避免端部漏磁，提升电机性能和磁能利用率。
广东海洋大学,2,2,广东海洋大学在机器人领域主要研究方向为谐波减速器的过载保护技术和机器人关节性能测试与评估技术，通过创新设计提高谐波减速器的耐用性和安全性，并建立关节传动透明度的量化评价体系以优化关节性能。
杨军,2,2,杨军的研究主攻方向是仿人形机器人的折叠关节设计，特别是通过齿轮传动和减速器实现的复合关节运动。其技术重点在于优化关节驱控电路板、电机组件及齿轮啮合结构，以提高机器人关节的灵活性和稳定性。
彭太江,2,2,彭太江的研究主攻方向是仿人形机器人的折叠关节设计，特别是通过齿轮传动和锥齿轮减速器实现的复合关节运动。其技术重点在于提高关节的灵活性和驱动效率，以支持更复杂的机器人动作。
深圳市小全科技文化有限公司,2,2,深圳市小全科技文化有限公司专注于智能仿生表情机器人的研发，主要技术方向包括通过柔性材料和驱动模组实现面部表情的自然模拟，以及利用面部肌肉神经网络控制系统精确控制表情变化，使机器人能够产生连续且细腻的表情动作。
上海非夕机器人科技有限公司,2,2,上海非夕机器人科技有限公司专注于提升机器人关节的性能，主要研究方向包括通过精确力矩补偿方法提高关节力矩检测的准确性和稳定性，以及设计紧凑型关节模组以优化机器人结构的空间利用率和整体紧凑性。
萨克米科技股份公司,2,2,萨克米科技股份公司的研究主攻方向是开发用于制造由压实陶瓷粉末制成的制品的系统和方法，重点在于通过自动化的供应、压实、切割、去毛刺/修整及检测控制过程提高生产效率和产品质量。
东莞市赛仑特实业有限公司,2,2,东莞市赛仑特实业有限公司专注于人形机器人用齿轮和齿轮减速机的研发，通过设计包含多组齿轮和可调节传动轴的结构，实现不同齿轮组间的灵活切换，从而提高机器人在复杂动作执行中的灵活性和效率。
郭秋泉,2,2,郭秋泉的研究主攻方向是仿人形机器人的折叠关节设计，特别是通过齿轮传动和减速器实现的复合关节运动。其技术重点在于提高关节的灵活性和控制精度，以实现更自然的人形机器人动作。
吴幼健,2,2,吴幼健的研究主攻方向是开发能够模仿人类行走动作的人形机器人，通过改进重心移动装置和踝关节设计，使机器人在行走时更加自然流畅，实现更逼真的拟人下肢动作。
深圳市创鑫激光股份有限公司,2,2,深圳市创鑫激光股份有限公司专注于具有PLE安全等级的激光设备电控系统，通过外控信号装置、安全电源电气装置、控制板和驱动板协同工作，实现双通道互锁和急停功能，提高故障检测能力和整体安全性。
中科璀璨机器人(成都)有限公司,2,2,中科璀璨机器人(成都)有限公司专注于人形机器人的四肢协同平衡控制技术，通过多源状态信息融合和运动协调模型，实现精确、鲁棒的平衡控制策略，包括后掠控制、跨越控制和虚拟模型控制，有效提升机器人在复杂环境中的运动稳定性和协调性。
大连交通大学,2,2,大连交通大学在人形机器人领域专注于多模态智能识别与行为控制技术，通过集成多种组件如信号控制调节、轴心角度调节及下肢架补偿等，实现精确的环境感知、导航控制和灵活智能的步态控制，提高系统的响应速度、稳定性和操作实用性。
福州百益百利自动化科技有限公司,2,2,福州百益百利自动化科技有限公司专注于多维度智能唤醒电子设备技术，通过自动生成多种唤醒词并设置与不同唤醒类型（应答、功能、交互）的对应关系，实现对指定电子设备的精准控制及用户交互体验优化。
深圳市华强电气技术有限公司,2,2,深圳市华强电气技术有限公司专注于人形焊接机器人技术，通过相机模拟人类视觉进行自主焊接作业及路径规划。其核心技术包括基于数据融合的位姿估计、视觉三维重建、障碍物识别以及改进RRT算法的路径规划，旨在提高焊接效率并降低成本。
北京唯迈医疗设备有限公司,2,2,北京唯迈医疗设备有限公司专注于微创血管介入手术领域，研发人形介入机器人的手部装置，通过左右手装置协同操作实现导管导丝的精准推送与旋转、造影剂注射及压力泵控制，并具备感知夹持力度和实时推送阻力的功能，以完成介入手术中的关键操作。
